DOMÝNOS PÝZZA STOK SETLERÝ,,,
Date,Open,High,Low
4/28/2021,401.03,408.74,399.47
4/29/2021,401.44,419.36,391.26
4/30/2021,415.98,428.78,415.74
5/3/2021,426.8,435.67,424.64
5/4/2021,430.82,436.63,430
5/5/2021,436,436.96,428.1
5/6/2021,434.48,436.52,428.44
5/7/2021,430.6,434.26,430.6
5/10/2021,432.58,435.5,428.34
5/11/2021,428.62,430.01,419.49
5/12/2021,420,447.5,419.24
5/13/2021,425.28,431.66,422.29
5/14/2021,424.31,430.08,423.51
5/17/2021,428.2,435.08,428.2
5/18/2021,433.78,441.79,432.68
5/19/2021,429.36,434.89,424.46
5/20/2021,430.3,437.62,428.35
5/21/2021,429.5,432.07,425.74
5/24/2021,429.19,433.14,420.69
5/25/2021,416.52,422.33,414
5/26/2021,421.64,424.64,419.28
5/27/2021,421.94,426.14,418.79
5/28/2021,421.23,429.4,421.23
6/1/2021,430.33,430.94,422.3
6/2/2021,423.62,429.31,422.05
6/3/2021,426.24,428.99,424.19
6/4/2021,426.25,431.16,425.46
6/7/2021,432.08,438.42,430.29
6/8/2021,439.99,452.97,439.26
6/9/2021,442.86,446.88,442.4
6/10/2021,442.93,449.94,442.93
6/11/2021,447.94,453.81,447.94
6/14/2021,450.58,451.93,445.89
6/15/2021,450.15,450.41,444.41
6/16/2021,447.02,449.07,445.38
6/17/2021,448.89,462.23,448.89
6/18/2021,455.98,462.1,453.64
6/21/2021,460.95,465.15,457.83
6/22/2021,459.81,462.16,458.24
6/23/2021,458.28,460.63,454.64
6/24/2021,460.26,466.61,458.46
6/25/2021,458,464.56,456.45
6/28/2021,458.46,464.3,457.22
6/29/2021,463.01,466.66,460.81
6/30/2021,465.22,469.25,463.94
7/1/2021,466.74,467.61,461.26
7/2/2021,468.57,475.57,466.26
7/6/2021,469.88,477.85,469.88
7/7/2021,477.39,479.27,471.85
7/8/2021,474.57,478.57,472.02
7/9/2021,476.25,479.67,475.1
7/12/2021,480,482.61,478.67
7/13/2021,480.04,491.42,479.23
7/14/2021,485.19,488.22,482.79
7/15/2021,488.2,488.64,482.13
7/16/2021,486.44,489.48,481.4
7/19/2021,483.35,484.69,473.81
7/20/2021,475.83,478.55,471.28
7/21/2021,475.49,476.45,465.93
7/22/2021,484.99,548.72,484
7/23/2021,541.99,542.52,519.47
7/26/2021,523.82,538.57,522.67
7/27/2021,535.52,543.14,534.17
7/28/2021,533.18,536.31,523.33
7/29/2021,524.97,530.78,524.75
7/30/2021,526.19,531.57,523.71
8/2/2021,527.37,533.45,522.16
8/3/2021,531,543.57,530.56
8/4/2021,541.9,542.61,536.11
8/5/2021,535.32,538.51,529.37
8/6/2021,536.05,537.77,531.65
8/9/2021,531.08,533.12,525.45
8/10/2021,529.63,530.97,517.72
8/11/2021,518,523.49,514.36
8/12/2021,514.73,518.74,513.89
8/13/2021,515.75,518.66,512.35
8/16/2021,518.12,518.19,512.35
8/17/2021,513.34,531.6,512.54
8/18/2021,525.5,533.78,523.75
8/19/2021,523.6,525.15,515.72
8/20/2021,518.24,518.36,507.03
8/23/2021,510.04,516.48,505
8/24/2021,510,510,500.43
8/25/2021,502.48,512.55,501.48
8/26/2021,512.46,514.49,508.44
8/27/2021,508.03,513.06,508.03
8/30/2021,511.87,520.11,511.87
8/31/2021,517.98,520.58,515.69
9/1/2021,515.02,517.47,508.47
9/2/2021,519.17,519.17,512.56
9/3/2021,516.08,520.98,512.23
9/7/2021,514.39,516.36,508.48
9/8/2021,515.08,522.22,512.85
9/9/2021,522.27,525.77,515.01
9/10/2021,515.82,516.48,510.41
9/13/2021,510.92,513.03,504.66
9/14/2021,511.95,511.95,505.44
9/15/2021,506.74,509.48,501.36
9/16/2021,506.94,512.71,502.55
9/17/2021,509.29,512.15,501.52
9/20/2021,502.15,504.45,493.84
9/21/2021,496.15,503.6,495.31
9/22/2021,500.68,500.68,491.25
9/23/2021,497.88,498.88,492.5
9/24/2021,493.4,495,486.02
9/27/2021,489.21,493.36,484.15
9/28/2021,487.2,488.66,482.46
9/29/2021,486.66,488.36,482.42
9/30/2021,484.44,487.16,476.25
10/1/2021,479.02,479.02,470.33
10/4/2021,474,474.98,468.77
10/5/2021,471.35,477.84,470.23
10/6/2021,473.67,483.78,470.69
10/7/2021,482.2,491.18,481.29
10/8/2021,484.58,488.39,479.64
10/11/2021,477.88,484.46,472.43
10/12/2021,481.37,483.16,476.13
10/13/2021,479.72,480.46,474.03
10/14/2021,461,489.89,455.96
10/15/2021,473.89,475,453.34
