il,ilce,Olumlu,Olumsuz,,REFARANDUMDA OY KULLANAN ﬁEH›RLER›N EVET - HAYIR OY ORANLARI,,,,,,,
S›VAS,KOYULH›SAR,5354,1814,,,,,,,,,
S›VAS,MERKEZ,161010,54050,,,,,,,,,
S›VAS,SUﬁEHR›,12349,2756,,,,,,,,,
S›VAS,ﬁARKIﬁLA,16039,6313,,,,,,,,,
S›VAS,ULAﬁ,3961,1475,,,,,,,,,
S›VAS,YILDIZEL›,15209,3992,,,,,,,,,
S›VAS,ZARA,7583,5617,,,,,,,,,
ﬁANLIURFA,,599073,246835,,,,,,,,,
ﬁANLIURFA,AK«AKALE,40896,2049,,,,,,,,,
ﬁANLIURFA,B›REC›K,25644,15323,,,,,,,,,
ﬁANLIURFA,BOZOVA,16233,8496,,,,,,,,,
ﬁANLIURFA,CEYLANPINAR,20923,15780,,,,,,,,,
ﬁANLIURFA,EYY‹B›YE,123838,27140,,,,,,,,,
ﬁANLIURFA,HALFET›,7500,9317,,,,,,,,,
ﬁANLIURFA,HAL›L›YE,127475,43065,,,,,,,,,
ﬁANLIURFA,HARRAN,33886,1109,,,,,,,,,
ﬁANLIURFA,H›LVAN,13729,7949,,,,,,,,,
ﬁANLIURFA,KARAK÷PR‹,54614,23770,,,,,,,,,
ﬁANLIURFA,S›VEREK,65082,36243,,,,,,,,,
ﬁANLIURFA,SURU«,22584,23332,,,,,,,,,
ﬁANLIURFA,V›RANﬁEH›R,46669,33262,,,,,,,,,
ﬁIRNAK,,58607,148482,,,,,,,,,
ﬁIRNAK,BEYT‹ﬁﬁEBAP,2681,4816,,,,,,,,,
ﬁIRNAK,C›ZRE,10858,47086,,,,,,,,,
ﬁIRNAK,G‹«L‹KONAK,1356,3533,,,,,,,,,
ﬁIRNAK,›D›L,8285,19296,,,,,,,,,
ﬁIRNAK,MERKEZ,16596,20710,,,,,,,,,
ﬁIRNAK,S›LOP›,13768,40866,,,,,,,,,
ﬁIRNAK,ULUDERE,5063,12175,,,,,,,,,
TEK›RDA–,,242115,380494,,,,,,,,,
TEK›RDA–,«ERKEZK÷Y,42944,43218,,,,,,,,,
TEK›RDA–,«ORLU,56428,103674,,,,,,,,,
TEK›RDA–,ERGENE,14770,24618,,,,,,,,,
TEK›RDA–,HAYRABOLU,7284,14824,,,,,,,,,
TEK›RDA–,KAPAKLI,32533,30118,,,,,,,,,
TEK›RDA–,MALKARA,13989,22606,,,,,,,,,
TEK›RDA–,MARMARAERE–L›S›,5414,9729,,,,,,,,,
TEK›RDA–,MURATLI,5636,13595,,,,,,,,,
TEK›RDA–,SARAY,10233,23287,,,,,,,,,
TEK›RDA–,S‹LEYMANPAﬁA,46065,80475,,,,,,,,,
TEK›RDA–,ﬁARK÷Y,6819,14350,,,,,,,,,
TOKAT,,226835,132188,,,,,,,,,
TOKAT,ALMUS,6569,6248,,,,,,,,,
TOKAT,ARTOVA,4063,1699,,,,,,,,,
TOKAT,BAﬁ«›FTL›K,2132,777,,,,,,,,,
TOKAT,ERBAA,37064,19670,,,,,,,,,
TOKAT,MERKEZ,78075,39239,,,,,,,,,
TOKAT,N›KSAR,22908,15648,,,,,,,,,
TOKAT,PAZAR,6976,2031,,,,,,,,,
TOKAT,REﬁAD›YE,12284,5432,,,,,,,,,
TOKAT,SULUSARAY,3675,802,,,,,,,,,
TOKAT,TURHAL,30375,21071,,,,,,,,,
TOKAT,YEﬁ›LYURT,4169,1220,,,,,,,,,
TOKAT,Z›LE,18545,18351,,,,,,,,,
TRABZON,,316330,159700,,,,,,,,,
TRABZON,AK«AABAT,51396,23106,,,,,,,,,
TRABZON,ARAKLI,22249,4035,,,,,,,,,
TRABZON,ARS›N,14210,2982,,,,,,,,,
TRABZON,BEﬁ›KD‹Z‹,5800,8080,,,,,,,,,
TRABZON,«ARﬁIBAﬁI,6740,3204,,,,,,,,,
TRABZON,«AYKARA,6309,1733,,,,,,,,,
TRABZON,DERNEKPAZARI,1996,363,,,,,,,,,
TRABZON,D‹ZK÷Y,5328,3221,,,,,,,,,
TRABZON,HAYRAT,4132,426,,,,,,,,,
TRABZON,K÷PR‹BAﬁI,2385,440,,,,,,,,,
TRABZON,MA«KA,10342,4703,,,,,,,,,
TRABZON,OF,20544,4639,,,,,,,,,
TRABZON,ORTAH›SAR,116172,80974,,,,,,,,,
TRABZON,S‹RMENE,11301,3626,,,,,,,,,
TRABZON,ﬁALPAZARI,5458,2073,,,,,,,,,
TRABZON,TONYA,5292,4172,,,,,,,,,
TRABZON,VAKFIKEB›R,11597,5723,,,,,,,,,
TRABZON,YOMRA,15079,6200,,,,,,,,,
TUNCEL›,,9859,40478,,,,,,,,,
TUNCEL›,«EM›ﬁGEZEK,2871,2052,,,,,,,,,
TUNCEL›,HOZAT,477,2951,,,,,,,,,
TUNCEL›,MAZG›RT,665,4491,,,,,,,,,
TUNCEL›,MERKEZ,3135,18725,,,,,,,,,
TUNCEL›,NAZIM›YE,199,1707,,,,,,,,,
TUNCEL›,OVACIK,368,3333,,,,,,,,,
TUNCEL›,PERTEK,1867,5307,,,,,,,,,
TUNCEL›,P‹L‹M‹R,277,1912,,,,,,,,,
UﬁAK,,109263,123052,,,,,,,,,
UﬁAK,BANAZ,10854,13323,,,,,,,,,
UﬁAK,EﬁME,9708,14712,,,,,,,,,
UﬁAK,KARAHALLI,3514,3474,,,,,,,,,
UﬁAK,MERKEZ,75015,78482,,,,,,,,,
UﬁAK,S›VASLI,6324,7342,,,,,,,,,
UﬁAK,ULUBEY,3848,5719,,,,,,,,,
VAN,,193797,259758,,,,,,,,,
VAN,BAH«ESARAY,3784,1777,,,,,,,,,
VAN,BAﬁKALE,4369,19071,,,,,,,,,
VAN,«ALDIRAN,6976,13577,,,,,,,,,
VAN,«ATAK,3821,5016,,,,,,,,,
VAN,EDREM›T,24440,31537,,,,,,,,,
VAN,ERC›ﬁ,31185,33763,,,,,,,,,
VAN,GEVAﬁ,7527,5402,,,,,,,,,
VAN,G‹RPINAR,7904,6983,,,,,,,,,
VAN,›PEKYOLU,59928,75474,,,,,,,,,
VAN,MURAD›YE,7484,9972,,,,,,,,,
VAN,÷ZALP,4988,17895,,,,,,,,,
VAN,SARAY,2264,5696,,,,,,,,,
VAN,TUﬁBA,29127,33595,,,,,,,,,
YALOVA,,71929,72708,,,,,,,,,
YALOVA,ALTINOVA,8750,6925,,,,,,,,,
YALOVA,ARMUTLU,3030,2489,,,,,,,,,
YALOVA,«INARCIK,7981,9747,,,,,,,,,
YALOVA,«›FTL›KK÷Y,11040,10951,,,,,,,,,
YALOVA,MERKEZ,39003,41286,,,,,,,,,
YALOVA,TERMAL,2125,1310,,,,,,,,,
YOZGAT,,179911,62338,,,,,,,,,
YOZGAT,AKDA–MADEN›,17731,4648,,,,,,,,,
YOZGAT,AYDINCIK,5280,1186,,,,,,,,,
YOZGAT,BO–AZLIYAN,11456,8690,,,,,,,,,
YOZGAT,«ANDIR,1485,1024,,,,,,,,,
YOZGAT,«AYIRALAN,4042,2276,,,,,,,,,
YOZGAT,«EKEREK,10310,2424,,,,,,,,,
YOZGAT,KADIﬁEHR›,5892,1074,,,,,,,,,
YOZGAT,MERKEZ,43386,16080,,,,,,,,,
YOZGAT,SARAYKENT,5305,603,,,,,,,,,
YOZGAT,SARIKAYA,14228,3362,,,,,,,,,
YOZGAT,SORGUN,37728,8328,,,,,,,,,
YOZGAT,ﬁEFAATL›,6073,3366,,,,,,,,,
YOZGAT,YEN›FAKILI,1919,1671,,,,,,,,,
YOZGAT,YERK÷Y,15076,7606,,,,,,,,,
ZONGULDAK,,186197,191117,,,,,,,,,
ZONGULDAK,ALAPLI,16538,11848,,,,,,,,,
ZONGULDAK,«AYCUMA,29765,30693,,,,,,,,,
ZONGULDAK,DEVREK,20862,15031,,,,,,,,,
ZONGULDAK,ERE–L›,55648,55213,,,,,,,,,
ZONGULDAK,G÷K«EBEY,16423,14274,,,,,,,,,
ZONGULDAK,K›L›ML›,28231,23990,,,,,,,,,
ZONGULDAK,KOZLU,34056,29061,,,,,,,,,
ZONGULDAK,MERKEZ,91454,77731,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
