il,ilce,Olumlu,Olumsuz,,REFARANDUMDA OY KULLANAN ﬁEH›RLER›N EVET - HAYIR OY ORANLARI,,,,,,,
AYDIN,D›D›M,13087,33654,,,,,,,,,
AYDIN,EFELER,62756,117165,,,,,,,,,
AYDIN,GERMENC›K,8300,19459,,,,,,,,,
AYDIN,›NC›RL›OVA,12546,16969,,,,,,,,,
AYDIN,KARACASU,5058,7611,,,,,,,,,
AYDIN,KARPUZLU,4510,3485,,,,,,,,,
AYDIN,KO«ARLI,7863,8123,,,,,,,,,
AYDIN,K÷ﬁK,10537,7036,,,,,,,,,
AYDIN,KUﬁADASI,16654,50576,,,,,,,,,
AYDIN,KUYUCAK,8105,10926,,,,,,,,,
AYDIN,NAZ›LL›,36417,61929,,,,,,,,,
AYDIN,S÷KE,23523,52312,,,,,,,,,
AYDIN,SULTANH›SAR,5086,8602,,,,,,,,,
AYDIN,YEN›PAZAR,3975,5005,,,,,,,,,
BALIKES›R,,368741,441598,,,,,,,,,
BALIKES›R,ALTIEYL‹L,58630,56483,,,,,,,,,
BALIKES›R,AYVALIK,12040,34121,,,,,,,,,
BALIKES›R,BALYA,4771,5462,,,,,,,,,
BALIKES›R,BANDIRMA,36022,64172,,,,,,,,,
BALIKES›R,B›GAD›«,18696,14550,,,,,,,,,
BALIKES›R,BURHAN›YE,13477,25008,,,,,,,,,
BALIKES›R,DURSUNBEY,20638,5355,,,,,,,,,
BALIKES›R,EDREM›T,32554,62914,,,,,,,,,
BALIKES›R,ERDEK,7139,15196,,,,,,,,,
BALIKES›R,G÷ME«,2896,5513,,,,,,,,,
BALIKES›R,G÷NEN,23307,28117,,,,,,,,,
BALIKES›R,HAVRAN,10808,7690,,,,,,,,,
BALIKES›R,›VR›ND›,14743,9012,,,,,,,,,
BALIKES›R,KARES›,59974,58194,,,,,,,,,
BALIKES›R,KEPSUT,11414,5393,,,,,,,,,
BALIKES›R,MANYAS,5737,8451,,,,,,,,,
BALIKES›R,MARMARA,2593,3209,,,,,,,,,
BALIKES›R,SAVAﬁTEPE,7252,5403,,,,,,,,,
BALIKES›R,SINDIRGI,14151,11864,,,,,,,,,
BALIKES›R,SUSURLUK,11899,15491,,,,,,,,,
BARTIN,,67744,53160,,,,,,,,,
BARTIN,AMASRA,4011,5502,,,,,,,,,
BARTIN,KURUCAﬁ›LE,2124,2154,,,,,,,,,
BARTIN,MERKEZ,51651,41154,,,,,,,,,
BARTIN,ULUS,9958,4350,,,,,,,,,
BATMAN,,96139,168376,,,,,,,,,
BATMAN,BEﬁ›R›,6134,7906,,,,,,,,,
BATMAN,GERC‹ﬁ,5797,3619,,,,,,,,,
BATMAN,HASANKEYF,1829,1241,,,,,,,,,
BATMAN,KOZLUK,11044,16648,,,,,,,,,
BATMAN,MERKEZ,63573,134800,,,,,,,,,
BATMAN,SASON,7762,4162,,,,,,,,,
BAYBURT,,37629,8431,,,,,,,,,
BAYBURT,AYDINTEPE,3170,702,,,,,,,,,
BAYBURT,DEM›R÷Z‹,4426,599,,,,,,,,,
BAYBURT,MERKEZ,30033,7130,,,,,,,,,
B›LEC›K,,65867,68954,,,,,,,,,
B›LEC›K,BOZ‹Y‹K,21502,26335,,,,,,,,,
B›LEC›K,G÷LPAZARI,3647,3159,,,,,,,,,
B›LEC›K,›NH›SAR,891,828,,,,,,,,,
B›LEC›K,MERKEZ,20401,22389,,,,,,,,,
B›LEC›K,OSMANEL›,7606,6623,,,,,,,,,
B›LEC›K,PAZARYER›,3979,3196,,,,,,,,,
B›LEC›K,S÷–‹T,6390,5568,,,,,,,,,
